user_id,top_concept_names,top_concept_acts,overlap,new_items,popular_before,popular_after
6040,popularity|Drama|Documentary,+0.463|+0.254|+0.235,4,16,10,7
6039,classic|Documentary|War,+0.522|+0.377|+0.333,9,11,14,19
6038,Comedy|popularity|Musical,+0.636|+0.449|+0.275,14,6,19,15
6037,Sci-Fi|popularity|Fantasy,+0.764|+0.334|+0.281,10,10,10,9
6036,Sci-Fi|contemporary|Fantasy,+0.531|+0.340|+0.334,7,13,3,13
6035,Comedy|Documentary|Fantasy,+0.569|+0.304|+0.244,17,3,0,0
6034,Fantasy|Crime|Mystery,+0.415|+0.395|+0.358,17,3,4,5
6033,Action|popularity|Adventure,+0.824|+0.470|+0.243,5,15,17,8
6032,Animation|Musical|classic,+0.682|+0.442|+0.348,17,3,3,4
6031,popularity|Sci-Fi|Fantasy,+0.735|+0.296|+0.199,5,15,20,17
6030,Fantasy|Adventure|Animation,+0.914|+0.380|+0.346,5,15,0,14
6029,Musical|Documentary|popularity,+0.184|+0.182|+0.181,14,6,10,8
6028,Action|popularity|Crime,+0.826|+0.454|+0.253,3,17,18,13
6026,popularity|Documentary|classic,+0.417|+0.363|+0.360,11,9,19,19
6027,Comedy|popularity|modern,+0.627|+0.564|+0.325,11,9,18,18
6025,Comedy|modern|popularity,+0.810|+0.359|+0.261,6,14,7,8
6024,Romance|popularity|Action,+0.613|+0.500|+0.252,6,14,15,9
6023,Crime|Mystery|Thriller,+0.871|+0.324|+0.311,13,7,1,4
6022,popularity|Sci-Fi|Action,+0.655|+0.509|+0.375,11,9,20,19
6021,Sci-Fi|popularity|Fantasy,+0.790|+0.458|+0.319,8,12,17,11
6020,Action|popularity|War,+0.758|+0.411|+0.257,9,11,14,8
6019,Adventure|Action|modern,+0.746|+0.379|+0.322,12,8,1,3
6018,Sci-Fi|Fantasy|Adventure,+0.739|+0.325|+0.316,16,4,1,1
6017,popularity|classic|Action,+0.245|+0.191|+0.187,13,7,20,17
6016,Action|popularity|Adventure,+0.704|+0.331|+0.220,12,8,7,4
6015,Comedy|popularity|Musical,+0.819|+0.385|+0.233,7,13,20,15
6014,popularity|Drama|Western,+0.601|+0.492|+0.232,7,13,12,6
6013,Comedy|popularity|Documentary,+0.689|+0.380|+0.270,12,8,19,17
6012,modern|niche|Documentary,+0.265|+0.215|+0.210,15,5,8,9
6011,popularity|Western|Animation,+0.739|+0.162|+0.134,1,19,17,12
6010,Crime|popularity|Mystery,+0.919|+0.390|+0.304,6,14,4,5
6009,Action|modern|Thriller,+0.624|+0.452|+0.416,9,11,10,16
6007,Action|Adventure|Sci-Fi,+0.882|+0.303|+0.288,10,10,0,1
6008,Action|popularity|Sci-Fi,+0.791|+0.529|+0.270,3,17,20,13
6006,popularity|classic|Romance,+0.415|+0.321|+0.268,9,11,14,16
6005,Horror|Sci-Fi|contemporary,+0.846|+0.225|+0.222,12,8,0,0
6004,Animation|popularity|Thriller,+0.568|+0.463|+0.405,12,8,15,15
6003,popularity|Comedy|Drama,+0.442|+0.411|+0.205,2,18,16,5
6002,classic|War|Musical,+0.514|+0.385|+0.228,13,7,4,9
6001,Thriller|Mystery|Action,+0.868|+0.264|+0.201,12,8,2,4
6000,contemporary|popularity|Animation,+0.847|+0.351|+0.300,13,7,6,6
5999,Fantasy|classic|Mystery,+0.393|+0.356|+0.342,17,3,4,6
5998,Drama|modern|popularity,+0.770|+0.531|+0.174,5,15,1,3
5997,Sci-Fi|popularity|Fantasy,+0.799|+0.386|+0.276,7,13,12,9
5996,Romance|popularity|Musical,+0.550|+0.400|+0.197,10,10,5,1
5995,contemporary|popularity|Animation,+0.798|+0.411|+0.351,14,6,7,6
5994,Action|popularity|Sci-Fi,+0.813|+0.443|+0.289,4,16,14,10
5993,Musical|popularity|Animation,+0.849|+0.451|+0.423,12,8,8,4
5992,Romance|popularity|Musical,+0.719|+0.497|+0.245,8,12,11,4
